"id","name","parent_id/id","type","type_license"
"general_driver_licence_1","Air License","","View","Air"
"general_driver_licence_2","SPL (Student Pilot License)","general_driver_licence_1","Normal","Air"
"general_driver_licence_3","PPL (Private Pilot License)","general_driver_licence_1","Normal","Air"
"general_driver_licence_4","CPL (Commercial Pilot License)","general_driver_licence_1","Normal","Air"
"general_driver_licence_5","IR (Instrument Rating)","general_driver_licence_1","Normal","Air"
"general_driver_licence_6","MER (Multi Engine Rating)","general_driver_licence_1","Normal","Air"
"general_driver_licence_7","ATPL (Airline Transport Pilot License)","general_driver_licence_1","Normal","Air"
"general_driver_licence_8","Type Rating","general_driver_licence_1","Normal","Air"
"general_driver_licence_9","Land License","","View","Land"
"general_driver_licence_10","SIM A","general_driver_licence_9","Normal","Land"
"general_driver_licence_11","SIM B","general_driver_licence_9","View","Land"
"general_driver_licence_12","SIM C","general_driver_licence_9","View","Land"
"general_driver_licence_13","SIM D","general_driver_licence_9","Normal","Land"
"general_driver_licence_14","SIM B II","general_driver_licence_11","Normal","Land"
"general_driver_licence_15","Water License","","View","Water"
"general_driver_licence_16","SIM B I","general_driver_licence_11","Normal","Land"
"general_driver_licence_17","SIM C1","","Normal","Land"
"general_driver_licence_18","SIM C2","general_driver_licence_12","Normal","Land"
"general_driver_licence_19","SIM C3","general_driver_licence_12","Normal","Land"
"general_driver_licence_20","SIM C4","general_driver_licence_12","Normal","Land"
